Feature,Correlation
Molecular Weight (kDa),-0.200699461
length,-0.200724884
AAC_A,0.010831706
AAC_C,-0.075122428
AAC_D,-0.030090718
AAC_E,-0.043248364
AAC_F,-0.09266459
AAC_G,-0.102336864
AAC_H,-0.035615697
AAC_I,-0.006708536
AAC_K,0.214403366
AAC_L,-0.020102279
AAC_M,-0.012727882
AAC_N,-0.042938969
AAC_P,-0.07480629
AAC_Q,-0.026076811
AAC_R,0.043371205
AAC_S,-0.092177221
AAC_T,-0.03939268
AAC_V,-0.017743057
AAC_W,0.017902486
AAC_Y,0.010083844
DPC1_AA,-0.008504785
DPC1_AC,-0.012216594
DPC1_AD,-0.020719709
DPC1_AE,0.030457081
DPC1_AF,0.012201848
DPC1_AG,-0.084709329
DPC1_AH,0.034536682
DPC1_AI,-0.087240894
DPC1_AK,0.164583481
DPC1_AL,-0.044740394
DPC1_AM,-5.22E-05
DPC1_AN,-0.000860189
DPC1_AP,0.001332592
DPC1_AQ,0.010143657
DPC1_AR,-0.030726892
DPC1_AS,-0.043832346
DPC1_AT,-0.023467663
DPC1_AV,-0.009642803
DPC1_AW,-0.010677716
DPC1_AY,-0.033045447
DPC1_CA,-0.021498947
DPC1_CC,0.00858085
DPC1_CD,-0.022743511
DPC1_CE,-0.014223311
DPC1_CF,-0.065982537
DPC1_CG,0.001919852
DPC1_CH,0.004695102
DPC1_CI,-0.04153273
DPC1_CK,-0.023094354
DPC1_CL,0.036454906
DPC1_CM,-0.017816277
DPC1_CN,-0.063449937
DPC1_CP,-0.001569763
DPC1_CQ,-0.020872385
DPC1_CR,-0.002385046
DPC1_CS,-0.055457729
DPC1_CT,-0.035291116
DPC1_CV,-0.042951605
DPC1_CW,-0.036471525
DPC1_CY,-0.082738248
DPC1_DA,-0.027747845
DPC1_DC,0.04646715
DPC1_DD,
DPC1_DE,-0.001202219
DPC1_DF,-0.011069656
DPC1_DG,-0.031489279
DPC1_DH,-0.023532672
DPC1_DI,-0.037067542
DPC1_DK,-0.029639592
DPC1_DL,0.052081876
DPC1_DM,0.018610986
DPC1_DN,0.000706439
DPC1_DP,-0.023739057
DPC1_DQ,-0.027125489
DPC1_DR,-0.006143515
DPC1_DS,-0.012555445
DPC1_DT,0.004072901
DPC1_DV,-0.007816074
DPC1_DW,-0.016022713
DPC1_DY,-0.000248062
DPC1_EA,0.053434395
DPC1_EC,-0.030349942
DPC1_ED,-0.009212363
DPC1_EE,-0.013932475
DPC1_EF,-0.01800289
DPC1_EG,0.022655354
DPC1_EH,-0.009185685
DPC1_EI,-0.023824034
DPC1_EK,-0.026440324
DPC1_EL,0.049779389
DPC1_EM,-0.010346314
DPC1_EN,-0.014662783
DPC1_EP,-0.006311059
DPC1_EQ,0.001828909
DPC1_ER,-0.008292618
DPC1_ES,-0.024305114
DPC1_ET,-0.051635099
DPC1_EV,-0.036505309
DPC1_EW,-0.013018336
DPC1_EY,-0.038435264
DPC1_FA,0.08844575
DPC1_FC,-0.085889865
DPC1_FD,-0.044708789
DPC1_FE,-0.039237393
DPC1_FF,-0.038983895
DPC1_FG,-0.041031948
DPC1_FH,-0.044592046
DPC1_FI,-0.068994055
DPC1_FK,-0.00799945
DPC1_FL,-0.087658851
DPC1_FM,-0.015371099
DPC1_FN,-0.01243184
DPC1_FP,0.008527851
DPC1_FQ,0.001063724
DPC1_FR,-0.04492689
DPC1_FS,-0.056882785
DPC1_FT,-0.053786933
DPC1_FV,0.00619208
DPC1_FW,0.048214207
DPC1_FY,-0.005435519
DPC1_GA,-0.06053683
DPC1_GC,-0.038781764
DPC1_GD,0.001701125
DPC1_GE,-0.043794988
DPC1_GF,-0.002699001
DPC1_GG,-0.094462261
DPC1_GH,-0.007438393
DPC1_GI,0.000710624
DPC1_GK,-0.076292468
DPC1_GL,-0.070318876
DPC1_GM,0.008451159
DPC1_GN,-0.023972798
DPC1_GP,-0.017340136
DPC1_GQ,-0.024148244
DPC1_GR,-0.004040603
DPC1_GS,0.021459084
DPC1_GT,-0.002647941
DPC1_GV,0.050273912
DPC1_GW,0.004069468
DPC1_GY,-0.028367246
DPC1_HA,-0.04093571
DPC1_HC,0.006441223
DPC1_HD,
DPC1_HE,0.04323881
DPC1_HF,0.031690068
DPC1_HG,-0.028337339
DPC1_HH,-0.060719244
DPC1_HI,-0.065955145
DPC1_HK,-0.002628539
DPC1_HL,-0.017004141
DPC1_HM,-0.03299109
DPC1_HN,-0.016862675
DPC1_HP,
DPC1_HQ,
DPC1_HR,0.038341571
DPC1_HS,0.004752077
DPC1_HT,-0.006117969
DPC1_HV,-0.00990022
DPC1_HW,0.032732388
DPC1_HY,-0.028180667
DPC1_IA,-0.036719449
DPC1_IC,-0.068070301
DPC1_ID,-0.020575515
DPC1_IE,-0.007394989
DPC1_IF,-0.059548171
DPC1_IG,-0.131537915
DPC1_IH,-0.072915178
DPC1_II,0.094198675
DPC1_IK,0.190967586
DPC1_IL,-0.037544964
DPC1_IM,0.020293499
DPC1_IN,-0.007289464
DPC1_IP,-0.023839986
DPC1_IQ,-0.034448601
DPC1_IR,-0.00373114
DPC1_IS,-0.065258152
DPC1_IT,-0.069153382
DPC1_IV,0.020216077
DPC1_IW,-0.042133864
DPC1_IY,-0.021729043
DPC1_KA,0.046658806
DPC1_KC,-0.037769514
DPC1_KD,0.048146109
DPC1_KE,-0.039205582
DPC1_KF,-0.042270087
DPC1_KG,0.096849046
DPC1_KH,-0.026972881
DPC1_KI,0.08145592
DPC1_KK,0.20699566
DPC1_KL,0.065994333
DPC1_KM,0.004291846
DPC1_KN,-0.028533692
DPC1_KP,0.012500321
DPC1_KQ,-0.024724109
DPC1_KR,0.083262316
DPC1_KS,-0.040796939
DPC1_KT,0.075537281
DPC1_KV,0.049892404
DPC1_KW,0.036343897
DPC1_KY,-0.038353224
DPC1_LA,0.072569409
DPC1_LC,-0.026052538
DPC1_LD,-0.047266647
DPC1_LE,0.011884548
DPC1_LF,-0.101860773
DPC1_LG,-0.086730939
DPC1_LH,0.008931408
DPC1_LI,-0.078121847
DPC1_LK,0.027453808
DPC1_LL,0.019285983
DPC1_LM,0.055791487
DPC1_LN,-0.010987841
DPC1_LP,-0.087062274
DPC1_LQ,-0.037569527
DPC1_LR,-0.005924738
DPC1_LS,-0.075859907
DPC1_LT,-0.000474334
DPC1_LV,-0.019742407
DPC1_LW,-0.058722249
DPC1_LY,0.143294488
DPC1_MA,-0.033429665
DPC1_MC,-0.015014603
DPC1_MD,-0.029239749
DPC1_ME,-0.023711193
DPC1_MF,0.014973581
DPC1_MG,-0.022068088
DPC1_MH,-0.003832256
DPC1_MI,-0.018333475
DPC1_MK,0.021089734
DPC1_ML,0.002565659
DPC1_MM,0.010335891
DPC1_MN,0.009772211
DPC1_MP,0.022992312
DPC1_MQ,-0.016733291
DPC1_MR,-0.029633697
DPC1_MS,-0.002660679
DPC1_MT,-0.0451955
DPC1_MV,-0.023115157
DPC1_MW,-0.007317097
DPC1_MY,0.084970794
DPC1_NA,-0.025882997
DPC1_NC,-0.01301398
DPC1_ND,0.005701722
DPC1_NE,-0.015687585
DPC1_NF,-0.036137012
